applid,coreproject,pmid
10200797,UG3TR003148,32623181
10132194,UG3TR003148,33043130
9883563,UG3TR003148,34319675
10194423,UG3TR003148,33245509
9882772,UG3TR003090,33086121
10208974,UG3TR003090,33048854
10208992,UG3TR003090,33403944
10189713,UG3TR003090,33957072
10175594,UG3DA050311,32652312
10212993,UG3DA050311,31743739
10175594,UG3DA050311,33024318
10175594,UG3DA050311,33100417
10175594,UG3DA050311,31932466
10212993,UG3DA050311,33631465
10212993,UG3DA050311,33590767
10175594,UG3DA050311,33075471
10244062,UG3DA050311,34145403
10175594,UG3DA050311,33766769
10205279,UG3DA050311,33705855
10212993,UG3DA050311,32897695
9897469,UG3DA048774,33148404
9996442,UG3DA048774,34114163
9897469,UG3DA048774,32645336
9897469,UG3DA048774,33331774
9897469,UG3DA048774,32919245
9918310,UG3DA047717,33079736
9918310,UG3DA047717,33031872
10373528,UG3DA047717,33108267
10396694,UG3DA047717,33170687
10383447,UG1DA050074,33419602
10258730,UG1DA050074,33579622
10383447,UG1DA050069,33419602
10147017,UG1DA050069,33455828
10241286,UG1DA050067,31855783
10241286,UG1DA050067,33288348
10241286,UG1DA050067,33087123
10383447,UG1DA050067,33419602
10180932,UG1DA050067,33483222
10401158,UG1DA050067,34105213
10222672,U2COD023375,31850800
10205738,U2COD023375,31649277
10205376,U2COD023375,33993167
9888896,UG3NS114947,33463473
9888896,UG3NS114947,32439072
10208316,UG3DA050193,34080556
10227130,UG3DA048775,33113208
10303378,UG3DA048353,30738085
10303378,UG3DA048353,33635670
10403754,UG3DA048353,31834797
10303378,UG3DA048353,32205338
10403754,UG3DA048353,31098655
10303378,UG3DA048353,31103778
10303378,UG3DA048353,30861005
10303378,UG3DA048353,31838282
10403754,UG3DA048353,33860918
10303378,UG3DA048353,33956427
10303378,UG3DA048353,32209809
10303378,UG3DA048353,33384303
10403754,UG3DA048353,33847897
10303378,UG3DA048353,32693425
10303378,UG3DA048353,30650314
10303378,UG3DA048353,33620222
10303378,UG3DA048353,32113032
10303378,UG3DA048353,30997725
10303378,UG3DA048353,31707106
10303378,UG3DA048353,33344889
10303378,UG3DA048353,30712397
10303378,UG3DA048353,32889450
10303378,UG3DA048353,32092237
10303378,UG3DA048353,32380144
9993692,UG3DA047711,32283290
10227130,UG3DA047711,33113208
9993692,UG3DA047711,34126123
10245396,UG3AT010739,34104574
10401158,UG1DA049468,32353544
10379715,UG1DA049468,33605847
10160625,UF1MH121949,34404466
9905308,UF1MH121949,31764390
10203935,U01DK123812,32367543
10203935,U01DK123812,32941189
10170518,R61AT010799,32004328
10224154,R34DA050255,34174513
10224154,R34DA050255,32945129
10224154,R34DA050255,33691225
10224154,R34DA050255,32946557
10224154,R34DA050255,32779835
10223197,R21DA048074,31323243
9893842,R21DA048074,32957563
10152373,R01HD096796,31323217
10152373,R01HD096796,18573861
10383447,UG1DA050066,33419602
10233551,UG1DA050066,33734850
10242015,UG1DA050066,31959322
9902131,U01DK123818,33896471
9902131,U01DK123818,33106779
9900356,U01DK123786,33605943
10286886,U01DA047713,30648269
10251069,R61NS114926,33952678
10298331,R01NS113243,33197543
10298331,R01NS113243,32404819
9827701,R01NS113243,33204332
9827701,R01NS113243,31707979
10298331,R01NS045594,30699332
10298331,R01NS045594,20800969
10298331,R01NS045594,22265726
10298331,R01NS045594,30524245
10298331,R01NS045594,32332253
10298331,R01NS045594,28956026
10298331,R01NS045594,26408173
10298331,R01NS045594,25686526
10298331,R01NS045594,21794129
10298331,R01NS045594,32701850
10298331,R01NS045594,17065247
10298331,R01NS045594,18958370
10298331,R01NS045594,19254372
10298331,R01NS045594,19752352
10298331,R01NS045594,27999940
10298331,R01NS045594,27535916
10298331,R01NS045594,20165558
10298331,R01NS045594,17667578
10298331,R01NS045594,23537369
10298331,R01NS045594,29333591
10298331,R01NS045594,19303429
10298331,R01NS045594,24781496
10298331,R01NS045594,17387381
10298331,R01NS045594,30130582
10298331,R01NS045594,16887276
10298331,R01NS045594,28197545
10298331,R01NS045594,17721250
10298331,R01NS045594,33197543
10298331,R01NS045594,28956025
10298331,R01NS045594,18156874
10298331,R01NS045594,28534262
10298331,R01NS045594,17164106
10298331,R01NS045594,23622763
10298331,R01NS045594,33941753
10298331,R01NS045594,22445889
10298331,R01NS045594,18054143
10298331,R01NS045594,21453681
10298331,R01NS045594,22815815
10178740,UG3DA050325,33285178
10178740,UG3DA050325,33229892
10227130,UG3DA048386,33113208
9993692,UG3DA048386,32283290
10149265,UG3DA048386,33215913
10434473,UG1DA050072,33597139
10383447,UG1DA050072,33583610
10434473,UG1DA050072,33497963
10383447,UG1DA050072,34233109
10434473,UG1DA050072,34339247
10383447,UG1DA050072,33419602
10434473,UG1DA050072,33165146
10207774,UF1MH121944,33631356
9996556,U24NS115708,33962452
9996556,U24NS115708,33792582
9941765,U24NS115708,33690845
9996556,U24NS115708,33551451
9996556,U24NS115708,33028647
9996556,U24NS115708,33449563
9864857,U24NS113800,32838979
10286333,U18EB029251,31697052
10177515,U01HL150596,34145187
10177515,U01HL150596,33357602
10402976,U01HL150596,34216838
10402976,U01HL150596,32930851
10177515,U01HL150596,32925463
10087991,U01DK123813,32768993
10203935,U01DK123813,32941189
10383447,U01DA050442,33419602
10434473,U01DA050442,34339247
10188053,U01DA050442,33741216
10188053,U01DA050442,34199582
10188053,U01DA050442,34200312
9828948,R61NS113269,32766469
10401158,R61AT010614,32873500
10189730,R41NS115460,34278654
10288748,R34DA050286,32135572
10288748,R34DA050286,33773241
10117080,R34DA050286,33712378
10288748,R34DA050286,32299790
10200501,R34DA046730,34403125
10200501,R34DA046730,33612199
10200501,R34DA046730,32003816
10132101,R61HL156248,33656934
10057199,R24DA051946,33760249
10232049,R01NS117340,32413559
10232049,R01NS117340,33636311
10232049,R01NS117340,33259455
10232049,R01NS117340,34197579
10232049,R01NS117340,33646995
10424765,U18EB029354,33271850
10424765,U18EB029354,33711512
9937649,U18EB029354,33622622
10261888,U18EB029354,33582187
9937649,U18EB029354,33767254
9937649,U18EB029354,33055021
10424765,U18EB029354,33178189
10424765,U18EB029354,33387660
9937649,U18EB029354,34335132
10261970,U18EB029353,34366697
10261970,U18EB029353,34229314
10261970,U18EB029353,32435184
10307662,U18EB029353,33120025
10261970,U18EB029353,32516574
10261970,U18EB029353,33180732
10261970,U18EB029353,34114368
10261970,U18EB029353,33535778
10145078,U18EB029351,33460838
10200173,RF1AG068997,33110031
10090193,RF1AG068997,33731712
10090193,RF1AG068997,33646122
10112977,RF1AG068997,32770848
10196939,RF1AG068997,34334792
10228140,R61HL156240,33624805
10228140,R61HL156240,32603263
10228140,R61HL156240,33789690
10228140,R61HL156240,33574581
10228140,R61HL156240,31411783
10379715,R61DA049382,33605847
10162822,R61DA049382,34109308
9910942,R43DA050358,32973577
9910942,R43DA050358,30902153
9910942,R43DA050358,33340792
10437982,R01NS116704,33316379
10225344,R01NS116704,33431239
10173916,R01NS116694,33636371
10173916,R01NS116694,32903062
10173916,R01NS116694,33155057
10173916,R01NS116694,33591120
10173916,R01NS116694,32929856
10173916,R01NS116694,33306248
10200907,R01DE029951,33771895
10200907,R01DE029951,33515548
10200907,R01DE029951,31686009
10200907,R01DE029951,33172978
10200907,R01DE029951,31527638
10226887,R44DA049630,33411921
10356481,R44DA046151,33748430
10356481,R44DA046151,32193048
10356481,R44DA046151,33738178
10356481,R44DA046151,33303253
10267563,R44DA044062,31856951
10225152,R44DA041912,28983099
10063577,R44DA041912,29049116
10225152,R44DA041912,28596533
10337501,R42DA049448,33828497
10282421,R41NS116784,33422652
10118230,R41NS116784,32541387
10282421,R41DA050364,33422652
10021545,R21AT010125,28723302
10200231,R21AT010125,31882001
10200231,R21AT010125,33156156
10200231,R21AT010125,31418638
10021545,R21AT010125,29195596
