applid,pmid,coreproject
10400307,34104574,U24AT010961
10454450,32694387,U24AT010961
10473047,34080441,U24AT010961
10364578,32919581,U24AT010961
10364578,31660609,U24AT010961
9829475,34301180,R61NS113315
10474728,34075644,R61AT010614
10474728,32873500,R61AT010614
10356481,33748430,R44DA046151
10356481,33738178,R44DA046151
10356481,32193048,R44DA046151
10356481,33303253,R44DA046151
10267563,31856951,R44DA044062
10118230,32541387,R41NS116784
10282421,33422652,R41NS116784
10144277,33955346,R34DA050343
10288748,33773241,R34DA050286
10398578,32135572,R34DA050286
10398578,32299790,R34DA050286
10117080,33712378,R34DA050286
10349344,34606910,R34DA050266
10349344,34280739,R34DA050266
10151815,33912956,R34DA050266
10232657,33196052,R34DA050266
10441986,34556799,R34DA050266
10400445,33091843,UM1DA049417
10400445,33152673,UM1DA049417
10400445,33248391,UM1DA049417
10400445,33059200,UM1DA049417
10474728,33086156,UM1DA049417
10474728,33091842,UM1DA049417
10474728,33070058,UM1DA049417
10400445,33091844,UM1DA049417
10400445,33152672,UM1DA049417
10400445,33761404,UM1DA049417
10400445,34499540,UM1DA049417
10146328,33691249,UM1DA049417
10451077,32982989,UH2AR076719
10399813,32592504,UH2AR076719
10399813,33547944,UH2AR076719
10348860,34452921,UG3TR003150
10348860,34275292,UG3TR003150
10435316,33043130,UG3TR003148
10435316,31988461,UG3TR003148
10435316,34319675,UG3TR003148
10435316,32142662,UG3TR003148
10435316,33245509,UG3TR003148
10435316,32350379,UG3TR003148
10472876,33690979,UG3TR003148
10435316,32623788,UG3TR003148
10435316,32623181,UG3TR003148
10472876,33059333,UG3TR003148
10387104,33086121,UG3TR003090
10387104,34510139,UG3TR003090
10387104,33957072,UG3TR003090
10387104,33048854,UG3TR003090
10434624,33403944,UG3TR003090
10267562,33024318,UG3DA050311
10244062,34145403,UG3DA050311
10400320,31743739,UG3DA050311
10175594,33100417,UG3DA050311
10175594,32652312,UG3DA050311
10175594,33766769,UG3DA050311
10400320,33631465,UG3DA050311
10175594,31932466,UG3DA050311
10175594,33075471,UG3DA050311
10400320,32897695,UG3DA050311
10400320,33590767,UG3DA050311
10205279,33705855,UG3DA050311
10208316,34080556,UG3DA050193
10251366,32098843,UG3DA048385
10400307,34104574,UG3AT010739
10438018,33419602,UG1DA050066
10242015,31959322,UG1DA050066
10233551,33745757,UG1DA050066
10451986,32842044,UM1DA049412
10400445,33091843,UM1DA049412
10400445,33298298,UM1DA049412
10400445,34159545,UM1DA049412
10474728,33086156,UM1DA049412
10400445,33152672,UM1DA049412
10400445,33091844,UM1DA049412
10400445,33059200,UM1DA049412
10400445,32972644,UM1DA049412
10400445,33152673,UM1DA049412
10400445,33761404,UM1DA049412
10400445,32530889,UM1DA049412
10400445,33248391,UM1DA049412
10463965,33587441,UM1DA049412
10400445,33757707,UM1DA049412
10400445,34297070,UM1DA049412
10400445,34499540,UM1DA049412
10399849,32169011,UH2AR076741
10419922,33285178,UG3DA050325
10419922,33229892,UG3DA050325
10451849,33007552,UG3DA048767
10026019,33550801,UG3DA048767
10251374,31927265,UG3DA047700
10258730,33487516,UG1DA050071
10438018,33419602,UG1DA050071
10442044,33579622,UG1DA050071
10258730,32564809,UG1DA050071
10241286,33288348,UG1DA050067
10438018,33419602,UG1DA050067
10241286,33087123,UG1DA050067
10241286,31855783,UG1DA050067
10180932,33483222,UG1DA050067
10401158,34105213,UG1DA050067
10411763,34383925,UG1DA049467
10411763,33731210,UG1DA049467
10403871,33035229,UG1DA049467
10403871,32349766,UG1DA049467
10403871,34178292,UG1DA049467
10403871,33397145,UG1DA049467
10403871,32250276,UG1DA049467
10403871,31689260,UG1DA049467
10430302,34665758,UG1DA049467
10403871,31605516,UG1DA049467
10403871,30602031,UG1DA049467
10403871,32845244,UG1DA049467
10403871,31310611,UG1DA049467
10403871,34724134,UG1DA049467
10403871,33359220,UG1DA049467
10403871,31574300,UG1DA049467
10408298,31914971,UG1DA049467
10454583,31385846,UG3DA048734
10454583,32031650,UG3DA048734
10454583,34096756,UG3DA048734
10454583,31710994,UG3DA048734
10454583,33128093,UG3DA048734
10454583,31391211,UG3DA048734
10454583,32650192,UG3DA048734
10454583,31704379,UG3DA048734
10454583,34619714,UG3DA048734
10454583,32572978,UG3DA048734
10454583,33560698,UG3DA048734
10454583,33022538,UG3DA048734
10454583,32781310,UG3DA048734
10454583,31757261,UG3DA048734
10459732,32424771,UG3DA048379
10459732,29649035,UG3DA048379
10459732,34213886,UG3DA048379
10459732,33033993,UG3DA048379
10450923,32930582,UG3DA048379
10303378,34242797,UG3DA048353
10303378,33344889,UG3DA048353
10403754,33860918,UG3DA048353
10303378,32209809,UG3DA048353
10303378,32092237,UG3DA048353
10403754,31098655,UG3DA048353
10403754,32690626,UG3DA048353
10303378,30738085,UG3DA048353
10303378,30861005,UG3DA048353
10403754,32889450,UG3DA048353
10303378,33635670,UG3DA048353
10403754,31834797,UG3DA048353
10303378,31103778,UG3DA048353
10303378,33384303,UG3DA048353
10303378,32113032,UG3DA048353
10303378,30997725,UG3DA048353
10303378,31838282,UG3DA048353
10303378,30650314,UG3DA048353
10303378,32693425,UG3DA048353
10303378,30712397,UG3DA048353
10303378,33956427,UG3DA048353
10303378,32380144,UG3DA048353
10303378,33620222,UG3DA048353
10303378,31707106,UG3DA048353
10303378,32205338,UG3DA048353
10403754,33847897,UG3DA048353
10435710,34043402,UG3DA047714
10404154,33682145,UG3DA047680
10404154,33117893,UG3DA047680
10454450,32694387,UG3AR076387
10253306,34597383,UG3AR076387
10400445,33152672,UM1DA049406
10474728,33086156,UM1DA049406
10142414,10547116,UM1DA049406
10400445,33761404,UM1DA049406
10474728,33070058,UM1DA049406
10400445,33152673,UM1DA049406
10474728,33091842,UM1DA049406
10255195,33075691,UM1DA049406
10400445,34499540,UM1DA049406
10400445,33059200,UM1DA049406
10400445,33091843,UM1DA049406
10400445,33091844,UM1DA049406
10400445,33248391,UM1DA049406
10447304,33462446,UH3NS115631
10310774,33953663,UH3NS115631
10239201,33003443,UH3NS115631
10399813,33290407,UH2AR076724
10399813,33496787,UH2AR076724
10317687,32060963,UH2AR076724
9888896,33463473,UG3NS114947
9888896,32439072,UG3NS114947
10264717,34330321,UG3HD102038
10262845,33071433,UG3HD102038
10262845,33090744,UG3HD102038
10469886,32768993,UG3DA049694
9897469,33148404,UG3DA048774
9897469,32919245,UG3DA048774
10240494,34114163,UG3DA048774
9897469,33331774,UG3DA048774
9897469,32645336,UG3DA048774
10267535,34179783,UG3DA048351
9830397,34693882,UG3DA048351
10267535,32787282,UG3DA048351
10267535,32876947,UG3DA048351
9830397,32228108,UG3DA048351
10267535,34205869,UG3DA048351
10438018,33419602,UG1DA050065
10145633,33461829,UG1DA050065
9937649,34335132,U18EB029354
9937649,33622622,U18EB029354
9937649,33767254,U18EB029354
10424765,33387660,U18EB029354
10424765,33711512,U18EB029354
10424765,33582187,U18EB029354
10424765,33178189,U18EB029354
9937649,33055021,U18EB029354
10424765,33271850,U18EB029354
10286333,31697052,U18EB029251
10286333,34630868,U18EB029251
10329053,34242880,R34DA050283
10469886,32768993,U01DK123813
10469886,32941189,U01DK123813
10469886,34621058,U01DK123813
10469886,33896475,U01DK123813
9786245,25677777,R44NS086343
9786245,32773946,R44NS086343
9786245,28001346,R44NS086343
9786245,28424512,R44NS086343
10254262,25448007,R44NS086343
9786245,26190460,R44NS086343
10199982,26290245,R44NS086343
10199982,25440006,R44NS086343
10012518,28482635,R44NS086343
9968787,30535004,R44NS086343
10200231,33156156,R21AT010125
10200231,31882001,R21AT010125
10200231,31418638,R21AT010125
10021545,29195596,R21AT010125
10021545,34118705,R21AT010125
