applid,coreproject,pmid
10282421,R41NS116784,33422652
10189730,R41NS115460,34278654
10438018,U01DA050442,34199582
10438018,U01DA050442,33741216
10438018,U01DA050442,34200312
10438018,U01DA050442,33419602
10438018,U01DA050442,34339247
10450340,U01DA047982,33962813
10450340,U01DA047982,34600253
10003134,U01DA047982,34410606
10268734,U01DA047982,33865691
10450340,U01DA047982,33560695
10290451,U01DA047982,33691772
10450340,U01DA047982,32530888
10286886,U01DA047713,30648269
10156458,RF1NS113991,34608164
10298331,RF1NS113883,32701850
10298331,RF1NS113883,33941753
10224213,RF1NS113883,34752775
10200173,RF1NS113883,34730998
10298331,RF1NS113883,32332253
10175069,RF1NS113881,31917219
10224687,RF1NS113881,33478988
10175069,RF1NS113881,33340498
10175069,RF1NS113881,33675633
10387104,RF1NS113881,33957072
10175069,RF1NS113881,32099850
10175069,RF1NS113881,34102854
10175069,RF1NS113881,33051852
10159317,RF1NS113881,32071073
10175069,RF1NS113881,32205121
10159317,RF1NS113881,32326814
10127612,RF1NS113840,33239404
9868758,RF1NS113840,33618840
10337449,RF1NS113839,33772845
10337449,RF1NS113839,34459825
9868783,RF1NS113839,34289083
10337449,RF1NS113839,32003253
9828185,RF1NS113256,32005763
9828185,RF1NS113256,32200043
9828185,RF1NS113256,31851918
9828185,RF1NS113256,32162577
9828185,RF1NS113256,31863796
10485321,RF1AG068997,34334792
10112977,RF1AG068997,32770848
10090193,RF1AG068997,34468315
10090193,RF1AG068997,33731712
10090193,RF1AG068997,33646122
10200173,RF1AG068997,33110031
10241969,R61NS118651,34516888
10246433,R61NS114926,34731242
10433729,R61NS114926,33952678
10433729,R61NS114926,34545029
10433729,R61NS114926,33294774
10227160,R61NS114926,32719355
10227160,R61NS114926,32719375
9829699,R61NS113341,32663518
9829699,R61NS113341,34411735
9829699,R61NS113341,32707336
10198019,R61NS113341,32858170
9829699,R61NS113341,33450415
9829699,R61NS113341,32860971
10150864,R61NS113341,31833999
9829469,R61NS113316,33957800
10200692,R61NS113316,34716408
9829475,R61NS113315,34301180
9828948,R61NS113269,32766469
10132101,R61HL156248,33656934
10228140,R61HL156240,32603263
10228140,R61HL156240,33789690
10233687,R61HL156240,33574581
10228140,R61HL156240,33624805
10228140,R61HL156240,34634223
10228140,R61HL156240,34201760
10397860,R61AT010799,33892281
10170518,R61AT010799,32004328
10474728,R61AT010614,34075644
10474728,R61AT010614,32873500
10219462,R61AT010606,33570000
10478434,R61AT010606,33574500
10219462,R61AT010606,33006979
9891612,U24DA050182,34139948
10442798,U24AT010961,34455111
10400307,U24AT010961,34104574
10473047,U24AT010961,34080441
10364578,U24AT010961,31660609
10364578,U24AT010961,32919581
10364578,U24AT010961,34766524
10454450,U24AT010961,32694387
10399813,U19AR076737,32592504
10399813,U19AR076737,33547944
10399813,U19AR076737,34101158
10399813,U19AR076737,33290407
10399813,U19AR076737,33496787
10451077,U19AR076737,32982989
9937649,U18EB029354,33055021
10424765,U18EB029354,33711512
10424765,U18EB029354,33178189
10424765,U18EB029354,32425793
10337754,U18EB029354,34819696
9937649,U18EB029354,33767254
10424765,U18EB029354,33271850
10424765,U18EB029354,33387660
9937649,U18EB029354,34335132
10424765,U18EB029354,33582187
9937649,U18EB029354,33622622
10261970,U18EB029353,34366697
10261970,U18EB029353,34114368
10261970,U18EB029353,32516574
10261970,U18EB029353,34229314
10472268,U18EB029353,33120025
10261970,U18EB029353,33180732
10261970,U18EB029353,32435184
10261970,U18EB029353,33535778
10145078,U18EB029351,33460838
10286333,U18EB029251,31697052
10286333,U18EB029251,34630868
9881988,U01HL150835,34110889
10454583,U01HL150835,34619714
9881988,U01HL150835,23079483
9881988,U01HL150835,34555260
10454450,U01HL150835,32915024
9881988,U01HL150835,34569924
10206347,U01HL150835,34459058
10369090,U01HL150596,33357602
10402976,U01HL150596,34216838
10402976,U01HL150596,32930851
10177515,U01HL150596,34145187
10369090,U01HL150596,32925463
10267445,U01HL150568,34214173
9881407,U01HL150551,33582097
9881407,U01HL150551,33711513
9902131,U01DK123818,33106779
9902131,U01DK123818,33896471
10469886,U01DK123813,34621058
10469886,U01DK123813,32768993
10469886,U01DK123813,33896475
10469886,U01DK123813,32941189
10331180,U01DK123812,32367543
10469886,U01DK123812,32941189
10219362,U01DK123787,34750335
9900356,U01DK123786,33605943
10430314,U01DA055363,34601061
10160255,UG1DA050077,33339633
10438018,UG1DA050077,33419602
10442044,UG1DA050074,33579622
10438018,UG1DA050074,33419602
10434473,UG1DA050072,33165146
10438018,UG1DA050072,34339247
10434473,UG1DA050072,33497963
10454633,UG1DA050072,33597139
10438018,UG1DA050072,33419602
10383447,UG1DA050072,34233109
10383447,UG1DA050072,33583610
10434473,UG1DA050072,33906904
10438018,UG1DA050071,33419602
10442044,UG1DA050071,33579622
10258730,UG1DA050071,33487516
10258730,UG1DA050071,32564809
10147017,UG1DA050069,33455828
10438018,UG1DA050069,33419602
10241286,UG1DA050067,33087123
10241286,UG1DA050067,33288348
10401158,UG1DA050067,34105213
10241286,UG1DA050067,31855783
10438018,UG1DA050067,33419602
10513740,UG1DA050067,33483222
